ID,averageTimeMs,QPS,penalizedQPS,totalTimeMs,triples,resultSize,aggregations,filter,groupBy,having,offset,optional,orderBy,union,failed,succeeded,timeOuts,unknownException,wrongCodes
20,2,370,370,140,1,0,0,0,0,0,0,0,0,0,0,52,0,0,0
22,2,360,360,144,4,0,0,0,0,0,0,0,0,0,0,52,0,0,0
9,2,359,359,144,2,4,0,0,0,0,0,0,0,0,0,52,0,0,0
16,3,301,301,172,4,0,0,0,0,0,0,0,0,0,0,52,0,0,0
21,3,262,262,198,6,0,0,1,0,0,0,0,0,0,0,52,0,0,0
5,3,265,265,192,4,0,0,0,0,0,0,0,0,0,0,51,0,0,0
8,3,261,261,199,1,28,0,0,0,0,0,0,0,0,0,52,0,0,0
15,4,212,212,245,4,0,0,1,0,0,0,0,1,0,0,52,0,0,0
29,4,231,231,224,3,35,0,0,0,0,0,0,0,0,0,52,0,0,0
31,5,185,185,287,3,28,0,0,0,0,0,0,0,0,0,53,0,0,0
36,5,186,186,284,3,22,0,0,0,0,0,0,0,0,0,53,0,0,0
0,6,165,165,321,1,100,0,0,0,0,0,0,0,0,0,53,0,0,0
12,6,147,147,354,4,6,0,0,0,0,0,0,1,0,0,52,0,0,0
14,6,154,154,338,5,0,0,1,0,0,0,0,1,0,0,52,0,0,0
18,6,162,162,320,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,52,0,0,0
30,7,139,139,375,5,32,0,1,0,0,0,1,0,0,0,52,0,0,0
4,7,142,142,360,5,32,0,1,0,0,0,1,0,0,0,51,0,0,0
32,10,92,92,573,1,203,0,0,0,0,0,0,0,0,0,53,0,0,0
34,11,87,87,606,4,51,0,0,0,0,0,0,1,0,0,53,0,0,0
35,13,75,75,702,4,125,0,0,0,0,0,0,0,1,0,53,0,0,0
28,14,71,71,734,3,193,0,0,0,0,0,0,0,0,0,52,0,0,0
27,33,30,30,1724,5,241,0,0,0,0,0,0,1,0,0,52,0,0,0
10,37,27,27,1924,4,426,0,0,0,0,0,0,1,0,0,52,0,0,0
23,38,26,26,2017,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,0,52,0,0,0
19,49,20,20,2569,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,0,52,0,0,0
13,71,14,14,3740,4,697,0,0,0,0,0,0,1,0,0,52,0,0,0
25,112,9,9,5836,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,0,52,0,0,0
17,220,5,5,11463,0,65,1,0,1,0,0,0,1,0,0,52,0,0,0
7,411,2,2,21380,1,14,0,0,0,0,0,0,1,0,0,52,0,0,0
33,415,2,2,21998,4,10000,0,0,0,0,0,0,0,0,0,53,0,0,0
11,692,1,1,36006,4,10000,0,0,0,0,0,0,0,0,0,52,0,0,0
26,1776,1,1,92396,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,0,52,0,0,0
6,1804,1,1,93851,1,50,0,0,0,0,0,0,1,0,0,52,0,0,0
3,6848,0,0,349261,1,1,1,0,1,0,0,0,0,0,0,51,0,0,0
2,31258,0,0,1594170,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,0,51,0,0,0
1,42691,0,0,2219940,1,10,1,0,1,0,0,0,1,0,0,52,0,0,0
24,112461,0,0,2699080,-1,10000,-1,-1,-1,-1,-1,-1,-1,-1,28,24,0,0,28
